"Date","Work","Rating","Verdict","Url"
"2026-08-04","The Almajiri","3/5","“The Almajiri” Review: Jammal Ibrahim’s Debut Asks Difficult Questions About Education, Faith, and Northern Nigeria’s Future - Frames the debut as a serious but imperfect look at schooling, faith, and the future of Northern Nigeria.","https://afrocritik.com/jammal-ibrahim-the-almajiri-review/"
"2026-07-30","Agesinkole: King of Thieves 2","2/5","“Agesinkole: King of Thieves 2” Review: Femi Adebayo’s Yoruba Epic Has the Architecture of Greatness But an Overwritten Screenplay - Sees a grand Yoruba epic with impressive scale but a script too overloaded to fulfill its promise.","https://afrocritik.com/femi-adebayo-agesinkole-king-of-thieves-2-review/"
"2026-07-24","Remi & Nneoma","2.4/5","“Remi & Nneoma” Review: A Biblical Retelling That Honours Its Source and Flinches From Its Own Boldest Possibilities - Finds the biblical retelling respectful and heartfelt, yet too cautious to become a fully alive film.","https://afrocritik.com/lyndsey-f-efejuku-remi-nneoma-review/"
"2026-07-11","The Anniversary","2.7/5","“The Anniversary” Review: Prosper Edesiri’s Chamber Drama Has a Fascinating Psychological Core It Doesn’t Fully Trust - Praises the chamber drama's psychological promise while noting the film does not fully trust or deepen it.","https://afrocritik.com/prosper-edesiri-the-anniversary-review/"
"2026-07-02","Ìwé Àlà: An Ojude Oba Story","2.3/5","“Ìwé Àlà: An Ojude Oba Story” Review: Adeoluwa Owu Captures the Ojude Oba Beautifully But Surrounds It With a Story That Can’t Keep Up - Credits Adeoluwa Owu's eye for Ojude Oba pageantry but faults the surrounding story for lagging behind.","https://afrocritik.com/adeoluwa-owu-iwe-ala-an-ojude-oba-story-review/"
"2026-06-22","Jail Time Records","4/5","Tribeca Film Festival 2026: “Jail Time Records” Turns a Cameroonian Prison Into the Most Unlikely Stage in the World - Highlights a visually striking, emotionally honest documentary about music and resilience inside a Cameroonian prison.","https://afrocritik.com/jail-time-records-review-tribeca-film-festival-2026/"
"2026-06-12","Mirrors","2.6/5","“Mirrors” Review: Yemi Morafa’s Two-Hander Is Undone by Its Own Screenplay - Argues the intimate two-hander is weakened by a screenplay that never finds enough emotional depth.","https://afrocritik.com/yemi-morafa-mirrors-review/"
"2026-05-15","Efunroye: The Unicorn","2.2/5","“Efunroye: The Unicorn” Review: Nollywood’s Most Politically Charged Historical Epic Chooses Devotion Over Truth - Says the historical epic chooses devotional reverence over a sharper engagement with political truth.","https://afrocritik.com/efunroye-the-unicorn-review/"
"2026-05-12","Trade by Bata","2.2/5","“Trade by Bata” Review: Biodun Stephen’s Culture-Clash Comedy Has One Brilliant Idea but Doesn’t Know What To Do With It - Finds a sharp culture-clash idea and strong moments, but says the film cannot sustain its own ambition.","https://afrocritik.com/biodun-stephen-trade-by-bata-review/"
"2026-04-30","Silence is Loud","4/5","“Silence is Loud” Review: Abba T. Makama’s Film Finds Courage Where Society Tells Us to Be Quiet - Reads the film as courageous, controlled, and clear about the social pressures it challenges.","https://afrocritik.com/abba-t-makama-silence-is-loud-review/"
"2026-04-27","180","2/5","“180” Review: Alex Yazbekʼs Revenge Thriller Is Well-Shot But Lacking In Substance - Acknowledges the thriller's visual craft while faulting its thin character work and underdeveloped substance.","https://afrocritik.com/alex-yazbek-180-review/"
"2026-04-23","The Creek","1.5/5","“The Creek” Review: Toka McBaror’s Niger Delta Thriller Has the Right Setting and the Wrong Convictions - Finds the Niger Delta setting promising, but says the film's convictions and execution undermine it.","https://afrocritik.com/toka-mcbaror-the-creek-review/"
"2026-04-10","Headless","2.5/5","“Headless” Review: Michael Ndiomu’s Debut Feature Diagnoses Nollywood’s Rot Without Fully Escaping It - Sees a debut that diagnoses Nollywood's problems perceptively but cannot fully escape them itself.","https://afrocritik.com/michael-ndiomu-headless-review/"
"2026-03-06","Muscle","3/5","Berlinale 2026: Karimah Ashaduʼs “Muscle” Turns the Black Male Body Into a Site of Witness - Describes the film as a demanding, meaningful study of the Black male body as witness and evidence.","https://afrocritik.com/karimah-ashadu-muscle-review-berlinale-2026/"
"2025-12-16","Colour Me True","2/5","“Colour Me True” Review: Toluwani Obayan Osibe’s Debut Reaches for Truth but Settles for Surface - Finds a search for truth that remains too surface-level to carry its emotional or political weight.","https://afrocritik.com/toluwani-obayan-osibe-colour-me-true-review/"
"2025-12-15","Nome","4/5","ADIFF 2025: Sana Na N’Hada Examines the Cost of Freedom and the Weight of Memory in “Nome” - Praises a memory-rich reflection on freedom, sacrifice, and the lingering cost of liberation.","https://afrocritik.com/sana-na-nhada-nome-review-adiff-2025/"
"2025-12-12","The Heart is a Muscle","3.7/5","“The Heart is a Muscle” Review: Imran Hamdulay’s Debut Feature Traces the Wounds We Inherit and the Ones We Try to Heal - Sees a tender debut about inherited wounds, grief, and the difficult work of healing.","https://afrocritik.com/imran-hamdulay-the-heart-is-a-muscle-review/"
"2025-12-10","The Banjo Boys","3.8/5","ADIFF 2025: Johan Nayar’s “The Banjo Boys” is a Soul-Stirring Portrait of Music, Faith, and Survival - Highlights a moving portrait where music, faith, and survival give the documentary its emotional force.","https://afrocritik.com/johan-nayar-the-banjo-boys-review-adiff-2025/"
"2025-12-08","Rise","4/5","ENIFF 2025: Jessica J. Rowlands Puts Zimbabwean Cinema on the Map with “Rise” - Celebrates the film as a strong marker for Zimbabwean cinema and a confident statement from Rowlands.","https://afrocritik.com/jessica-j-rowlands-rise-review-eniff-2025/"
"2025-12-04","Afrikki","3.2/5","ENIFF 2025: Gaëlle Le Roy Chronicles a Decade of Youth Resistance in “Afrikki” - Credits the documentary for tracing youth resistance with care across a decade of political struggle.","https://afrocritik.com/gaelle-le-roy-afrikki-review-eniff-2025/"
"2025-12-02","Water Girl","3.9/5","ENIFF 2025: Nnamdi Kanagaʼs “Water Girl” Reclaims Ogbanje Narratives With Intimacy and Precision - Praises the film's intimate, precise reclamation of ogbanje narratives and spiritual identity.","https://afrocritik.com/nnamdi-kanaga-water-girl-review-eniff-2025/"
"2025-11-29","Bad Influencer","3/5","“Bad Influencer” Review: Netflix’s South African Series Is a Stylish, Chaotic Tale of Clout and Consequences - Finds the Netflix series stylish and energetic, but messy in its handling of clout and consequence.","https://afrocritik.com/keitumetse-qhali-ari-kruger-bad-influencer-review/"
"2025-11-19","Radia","3.9/5","AIFF 2025: In “Radia”, Khaoula Assebab Benomar Crafts a Stark Portrait of Widowhood, Agency, and the Cost of Becoming - Praises a stark, carefully observed portrait of widowhood, agency, and painful self-making.","https://afrocritik.com/khaoula-assebab-benomar-radia-review-aiff-2025/"
"2025-11-14","Double or Nothing","2.2/5","AIFF 2025: Rachida SaadiʼS “Double or Nothing” Is a Gamble on Love and Addiction That Plays It Too Safe - Finds the love-and-addiction drama too cautious for the risks its premise demands.","https://afrocritik.com/rachida-saadi-double-or-nothing-review-aiff-2025/"
"2025-11-12","Adunni: Ogidan Binrin","2/5","AIFF 2025: “Adunni: Ogidan Binrin” Is a Story of Resistance Undone by Its Own Execution - Says the resistance story has worthy intentions but is weakened by poor execution.","https://afrocritik.com/yemi-amodu-adunni-ogidan-binrin-review-aiff-2025/"
